Indicator,Type,Description
"195.2.93.160,/_/scs/mail-static/_/js/",URL,C2 Server URL
85.217.171.12,IP,Team Server 
b66235aabaddb121e20094b636ee957d685dbbb9003c5d32a60ab53171d71f79,SHA256,Beacon Shellcode
cdd208902d1a0a307cfeec3e18e7fb6fc79089cf9c56ca31e296ac87c937c5d6,SHA256,Beacon Shellcode
f51f820fad6f4402d2a884507c11371549109806b911ada8f9e0ff497d09ba05,SHA256,Beacon Shellcode
898592455fae5b048e28c92a8a4e62374ed588ad2f38ddcc291de89105db1cfe,SHA256,Beacon Shellcode
1c00d9216fc3792a1d9dc57176f7316db3abc596dddd51f6b7ae2098e9af4b0e,SHA256,Beacon Shellcode
1f68f67dbc7dbd64092040715f47b434ef5e041605ba4b812357a29a532c016b,SHA256,Beacon Shellcode
80c05d93d061bd22b437034b84926761936ccf1308fd4bca6fd6f34bc126672e,SHA256,Beacon Shellcode
fed6071a52ceb42804c3e02e199e3d1f295bb5548323f0b1cd9b72e300ea82da,SHA256,Beacon Shellcode
256474765cee8b1cacd9ce35ff74bfdf2fe578a1ef5adab268eb23ab50f8a1c4,SHA256,Beacon Shellcode
7d7ae1ea269ff6a43de4a606e8c2b3f0f2320d2ea083dc0bd9fe9b81a2ec0ae0,SHA256,Beacon Shellcode
de12c954fcba36cd32f9af2f988c9e06385c7e5eaa2033cd3432b8464d000334,SHA256,Beacon Shellcode
c05e0e994337d760c86f50931bbb4c04f588b7868beab004ebd7efcf78ff8fc5,SHA256,Beacon Shellcode
d62bb0e1187a570f0f4bef91d074cd32,Public Key,SSL Public Key MD5
85.217.171.12/c/msdownload/update/others/2020/10/29136388_,URL,C2 Server URL
85.217.171.12/g.pixel,URL,C2 Server URL
85.217.171.12/updates.rss,URL,C2 Server URL
109.234.37.28,IP,Team Server 
offspringance.com,Domain,C2 Server Domain
5.199.139.206,IP,Team Server 
uncertaintology.com,Domain,C2 Server Domain
89.163.213.249,IP,Team Server 
hilariousology.com,Domain,C2 Server Domain
149.154.68.48,IP,Team Server 
keywordsance.com,Domain,C2 Server Domain
00539c98921e88fe08e11805d1b3cbd6dd6e30fa8317c756f44cb6062f7bb6ce,SHA256,Beacon
082ca613db4e31e46221c50d41c5f8e6be36f8511b48314ed30be97ab1a1b79c,SHA256,Beacon
20f875b0c90cfddc3d9dac7972608747f1317c5b272e17a4a0eb76ca41e4cdab,SHA256,Beacon
8a25ab1188c700834269a46bf3f86223251d1e34bcdb7db77da7510244f38acd,SHA256,Beacon
ca9c1076e743bc87ae9355e3756f539177c31d74ffa5528a3d7a060bafc95dd3,SHA256,Beacon
65791aa0d3448ee0a0300c68b7d6b08f4acf9a351537c3cffbae8566e6a08171,SHA256,Beacon
baf51521e2f8d854889e4c01928b35e5051cf61d89ec3dc3fcf9d1ed7b2175b9,SHA256,Beacon
e35d23dba34495373ea3777e3d280609d3e212e4ceef602d10bab631fa3e5b7b,SHA256,Beacon
1cbdfa606931856d2e2fe6a386ce595d20a056fef81c535993fd84fbfd154da8,SHA256,Beacon
e00c6f044c22f9399d54710e669e9303373e276c2d4ba5ad612e7f5dbcba6831,SHA256,Beacon
c5473ec4639aa00c13d0e016ae94bbeb8c840e674bbb3dd314758189a33deffd,SHA256,Beacon
c634eafca3a2383bf8232a0d4ccf2ee2c32d83f8f230a0822020b1ae225e3eb7,SHA256,Beacon
