Indicator,Type,Description
85.93.88.165,IP,Team Server 
b4a554c87b0981aad0152ef5ac62ee7b0dc3fabfe792efe76056409e1045f57c,SHA256,Beacon Shellcode
73d4ea15c57cc122c77870ac5a5c8b5b5c1b5a6adce50280bac25cb3a42a48dc,SHA256,Beacon Shellcode
cdf394932d1cb220d83acafd3142aa8db7e2e29d795960299ce10bc140e7c94a,SHA256,Beacon Shellcode
f3222e823e536c5a2a5f05ef2bd97e7234d37a1fa2fc7708b2a64e4600d427e4,SHA256,Beacon Shellcode
118a93cdcea44f8e00c7f55f6b754b1a,Public Key,SSL Public Key MD5
macrodown.azureedge.net/jquery-3.3.1.min.js,URL,C2 Server URL
macrodown.com/jquery-3.3.1.min.js,URL,C2 Server URL
macrodown.com,Domain,C2 Server Domain
macrodown.azureedge.net,Domain,C2 Server Domain
162.244.81.217,IP,Team Server 
540e853165d4029c8d07bd399e6c892029874e4fdb537599d6d1fa0b93d6dbac,SHA256,Beacon Shellcode
b4496841f06257169bbfde2076e8edb97844ff050ce3791ce34e21965bfbac64,SHA256,Beacon Shellcode
f411811bb49190af2def8a3ef9e9e63b35903fbf9664731c287fbb1f9307a7cb,SHA256,Beacon Shellcode
3dea4553e8b4ac450a60297e002cbe525e38c3f4d96e84eb0cc73a41a10b69ce,SHA256,Beacon Shellcode
d2d21326ae0ea4656b8a02ddebe4f3c9,Public Key,SSL Public Key MD5
mazdafo.com/jquery-3.3.1.min.js,URL,C2 Server URL
mazdafo.com,Domain,C2 Server Domain
88.80.148.84,IP,Team Server 
672cca1325f616920efd1b074628d10d6901d97f134781ac00886d83282c93a5,SHA256,Beacon Shellcode
fc7f74f729460f1430af2231dccdab928064c13c2f0a635a34b29aca405af042,SHA256,Beacon Shellcode
069f705ff07e895572894f2984a92827,Public Key,SSL Public Key MD5
zanzibor.com/jquery-3.3.1.min.js,URL,C2 Server URL
zanzibor.com,Domain,C2 Server Domain
162.244.80.235,IP,Team Server
softnewspaper.com,Domain,C2 Server Domain
185.141.63.120,IP,Team Server 
shanroban.com,Domain,C2 Server Domain
82.118.21.1,IP,Team Server 
bmwfor.com,Domain,C2 Server Domain
