Indicator,Type,Description
246DFE16A9248D7FB90993F6F28B0EBE87964FFD2DCDB13105096CDE025CA614,SHA256,"Solarwinds-Orion-NPM-Eval.zip"
596eaef93bdcd00a3aedaf6ad6d46db4429eeba61219b7e01b1781ebbf6e321b,SHA256,"KeePass-2.52.zip"
9D3B268416D3FAB4322CC916D32E0B2E8FA0DE370ACD686873D1522306124FD2,SHA256,"Solarwinds-Orion-NPM-Eval.exe"
AC09CBFEE4CF89D7B7A755C387E473249684F18AA699EB651D119D19E25BFF34,SHA256,"RomCom RAT Dropper"
8b8dff5d30802fd79b76ee1531e7d050184a07570201ef1cd83a7bb8fa627cb0,SHA256,"RomCom RAT Dropper"
F7013CE417FCBA0F36C4B9BF5F8F6E0E2B14D6ED33FF4D384C892773508E932E,SHA256,"RomCom RAT Launcher (setup.ee)"
5f187393acdeb67e76126353c74b6080d3e6ccf28ae580658c670d8b6e4aacc1,SHA256,"RomCom RAT Launcher (setup.ee)"
ABE9635ADBFEE2D2FBAEA140625C49ABE3BAA29C44FB53A65A9CDA02121583EE,SHA256,"RomCom RAT payload"
3252965013ec861567510d54a97446610edba5da88648466de6b3145266386d9,SHA256,"RomCom RAT payload"
